,#name,region,country,latitude,longitude,location_type,conflict_date,population
0,Bujumbura,Bujumbura,Burundi,-3.3667,29.3637,conflict_zone,0.0,497166.0
1,Kabarore,Kayanza,Burundi,-2.8498,29.5408,conflict_zone,71.0,62303.0
2,Bukinanyana,Cibitoke,Burundi,-2.883,29.3367,conflict_zone,72.0,75750.0
3,Cibitoke,Cibitoke,Burundi,-2.8906,29.1241,conflict_zone,76.0,460435.0
4,Mwaro,Mwaro,Burundi,-3.5107,29.7043,conflict_zone,179.0,273143.0
5,Gisuru,Ruyigi ,Burundi,-3.4581,30.4983,conflict_zone,207.0,99461.0
6,Burambi,Rumonge,Burundi,-3.7987,29.4405,conflict_zone,222.0,57167.0
7,Bubanza,Bubanza,Burundi,-3.0853,29.3956,town,,
8,Muramvya,Muramvya,Burundi,-3.2656,29.6147,town,,
9,Kayanza,Kayanza,Burundi,-2.9307,29.6322,town,,
10,Rumonge,Rumonge,Burundi,-3.9739,29.4389,town,,
11,Bururi,Bururi,Burundi,-3.9461,29.6174,town,,
12,Rutana,Rutana,Burundi,-3.9269,29.9903,town,,
13,Makamba,Makamba,Burundi,-4.1355,29.8042,town,,
14,Gitega,Gitega,Burundi,-3.4284,29.9247,town,,
15,Karuzi,Karuzi,Burundi,-3.1018,30.1643,town,,
16,Ruyigi,Ruyigi,Burundi,-3.4761,30.2479,town,,
17,Cankuzo,Cankuzo,Burundi,-3.2207,30.5499,town,,
18,Muyinga,Muyinga,Burundi,-2.846,30.3394,town,,
19,Kirundo,Kirundo,Burundi,-2.585,30.0926,town,,
20,Ngozi,Ngozi,Burundi,-2.9091,29.8238,town,,
21,Gashoho,Muyinga,Burundi,-2.8217,30.141,town,,
22,Makebuko,Gitega,Burundi,-3.6023,29.9993,town,,
23,Commune_of_Mabanda,Makamba,Burundi,-4.2745,29.7743,town,,
24,Kagunga,Kigoma,Tanzania,-4.4874,29.6902,forwarding_hub,,
25,Mahama,Kirehe,Rwanda,-2.3009,30.8278,camp,,49451.0
26,Nduta,Kigoma,Tanzania,-3.6895,30.7765,camp,,55320.0
27,Nyarugusu,Kigoma,Tanzania,-4.2276,30.3862,camp,,100925.0
28,Nakivale,Isingiro,Uganda,-0.7818,30.9475,camp,,18734.0
29,Lusenda,Sud-Kivu,DRC,-3.8864,29.0999,camp,,17210.0
